rank,ID,Full Name,NOC,DScore,EScore,Penalty,TotalScore,E_Penalty,event
179.0,317,HAN Jong Hyok,PRK,4.3,4.933,,9.233,4.933000000000001,ph
180.0,312,LEON PRADO Arian,PER,4.4,4.833,,9.233,4.833,ph
181.0,261,BECKFORD Reiss,JAM,4.3,4.6,,8.9,4.6000000000000005,ph
182.0,267,NAGHOUJ Saleem,JOR,3.9,4.966,,8.866,4.965999999999999,ph
183.0,262,FAULK Caleb,JAM,4.0,4.766,,8.766,4.766,ph
184.0,355,ALSOULIMAN Yazan,SYR,3.8,4.5,,8.3,4.500000000000001,ph
185.0,328,KOTRONG Adelin,ROU,4.2,4.033,,8.233,4.033,ph
186.0,293,ROJO Francisco,MEX,3.4,4.766,,8.166,4.766,ph
187.0,150,PATERSON Cory,CAN,4.5,3.6660000000000004,,8.166,3.6660000000000004,ph
188.0,112,BULL Tyson,AUS,3.8,4.333,,8.133,4.332999999999999,ph
189.0,386,KHAMROKULOV Akobir,UZB,3.7,3.833,,7.533,3.833,ph
190.0,323,MOSA Ahmed,QAT,3.0,3.8,,6.8,3.8,ph
191.0,172,LERU Randy,CUB,3.2,3.533,,6.733,3.5329999999999995,ph
192.0,186,CHIRIBOGA Israel,ECU,3.7,2.966,,6.666,2.966,ph
193.0,327,SZABO Rafael,ROU,3.3,3.333,,6.633,3.333,ph
194.0,125,BAIRAMOV Timur,AZE,2.9,2.6,,5.5,2.6,ph
195.0,370,SAMILOGLU Umit,TUR,2.8,6.4,-4.0,5.2,2.4000000000000004,ph
196.0,106,VILLAFANE Daniel,ARG,2.9,5.8,-4.0,4.7,1.8000000000000003,ph
197.0,102,CORDOBA Nicolas,ARG,2.0,6.5,-4.0,4.5,2.5,ph
198.0,356,PROMMANEE Jamorn,THA,3.2,4.9,-4.0,4.1,0.8999999999999995,ph
199.0,311,AGUERO Daniel,PER,3.4,4.3660000000000005,-4.0,3.766,0.3660000000000001,ph
