rank,ID,Full Name,NOC,DScore,EScore,Penalty,TotalScore
131,193,CARD Franz,FIN,4.5,8.232999999999999,,12.732999999999999
132,261,BECKFORD Reiss,JAM,5.4,7.332999999999999,,12.732999999999999
133,274,AZIZOV Ilyas,KAZ,4.4,8.3,,12.7
134,289,LOO Phay Xing,MAS,4.6,8.1,,12.7
135,311,AGUERO Daniel,PER,5.4,7.3,,12.7
136,307,DYSON Devy,NZL,4.8,7.8660000000000005,,12.665999999999999
137,203,GOBAUX Julien,FRA,5.4,7.233,,12.633
138,359,LEE Chih Kai,TPE,5.6,7.0,,12.6
139,321,RI Wi Chol,PRK,5.9,6.7,,12.6
140,214,JIMSHELEISHVILI Ioane,GEO,4.6,7.966,,12.565999999999999
141,173,GEORGIOU Marios,CYP,5.3,7.266,,12.565999999999999
142,275,JANTYKOV Yerbol,KAZ,5.2,7.332999999999999,,12.533
143,106,VILLAFANE Daniel,ARG,4.9,7.5329999999999995,,12.433
144,350,BROMAN William,SWE,3.7,8.7,,12.4
145,113,COSTIN Scott,AUS,4.4,7.966,,12.366
146,125,BAIRAMOV Timur,AZE,4.7,7.641,,12.341
147,178,PONIZIL Daniel,CZE,4.4,7.933,,12.333
148,292,RAZO PADILLA Patricio,MEX,4.7,7.632999999999999,,12.333
149,322,ALDYANI Ahmed,QAT,5.4,6.933,,12.333
150,105,MOLINARI Federico,ARG,4.6,7.7,,12.3
151,181,SOLOVJEV Svjatoslav,CZE,3.5,8.7,,12.2
152,124,AGHARZAYEV Murad,AZE,4.3,7.9,,12.2
152,263,LEWIS Stephen,JAM,4.3,7.9,,12.2
154,318,HAN Chung Hyo,PRK,4.7,7.5,,12.2
155,199,BORELLO Antoine,FRA,4.9,7.3,,12.2
156,354,VANSTROEM Kim,SWE,3.8,8.366,,12.165999999999999
157,215,KUZOVKOV Konstantin,GEO,4.7,7.466,,12.165999999999999
158,122,SEREINIG Fabio,AUT,4.8,7.332999999999999,,12.133
159,384,ABDUSAMATOV Khusniddin,UZB,4.5,7.6,,12.1
160,234,KARDOS Botond,HUN,4.8,7.266,,12.065999999999999
161,353,RUMBUTIS David,SWE,4.7,7.332999999999999,,12.033
162,336,TAY Wei An Terry,SGP,4.4,7.6,,12.0
163,177,CERNY Frantisek,CZE,4.2,7.733,,11.933
164,316,ALMEIDA Bernardo,POR,4.4,7.5329999999999995,,11.933
165,338,DEJANOVIC Bojan,SRB,4.4,7.5,,11.9
166,393,IDESJOE Karl,SWE,5.0,6.9,,11.9
167,118,HOECK Vinzenz,AUT,4.2,7.666,,11.866
168,211,ABESADZE Saba,GEO,4.7,7.166,,11.866
169,339,JURKOVIC Nikola,SRB,5.0,6.8,,11.8
170,267,NAGHOUJ Saleem,JOR,4.1,7.632999999999999,,11.732999999999999
171,168,SELIGMAN Robert,CRO,2.3,9.333,,11.633
172,349,MICHNAK Slavomir,SVK,4.1,7.5329999999999995,,11.633
173,111,TOVMASYAN Artur,ARM,2.9,8.708,,11.607999999999999
174,186,CHIRIBOGA Israel,ECU,4.5,7.266,-0.3,11.466
175,385,AZIMOV Abdulla,UZB,4.4,7.066,,11.466
176,387,TOSHPULATOV Bobur,UZB,4.0,7.433,,11.433
177,175,KRASIAS Michalis,CYP,4.4,7.0,,11.4
178,358,HSU Ping Chien,TPE,5.4,6.0,,11.4
179,390,le Thanh Tung,VIE,5.4,5.966,,11.366
180,196,KOSKI Elias,FIN,4.3,6.832999999999999,,11.133
181,262,FAULK Caleb,JAM,3.6,7.466,,11.065999999999999
182,162,LUGO Didier,COL,4.9,6.166,,11.065999999999999
183,169,SRBIC Tin,CRO,2.8,8.1,,10.9
184,323,MOSA Ahmed,QAT,3.8,7.0,,10.8
185,248,REINHARDSSON Valgard,ISL,4.4,6.233,,10.633
186,243,AL-DULAIMI Yasir,IRQ,4.1,6.933,-0.6,10.433
187,146,ALEKSANDROV Yordan,BUL,4.4,5.233,,9.633
188,246,BALDURSSON Eythor,ISL,3.3,5.266,,8.566
189,167,KUSAN Leonardo,CRO,2.2,8.833,-4.0,7.0329999999999995
