rank,ID,Full Name,NOC,DScore,EScore,Penalty,TotalScore
165,226,PETROUNIAS Eleftherios,GRE,5.1,6.933,,12.033
166,365,ARCA Mustafa,TUR,5.4,6.633,,12.033
167,262,FAULK Caleb,JAM,4.8,7.2,,12
168,248,REINHARDSSON Valgard,ISL,5.3,7.366,-0.7,11.966
169,132,van den KEYBUS Luka,BEL,5.4,6.566,,11.966
170,338,DEJANOVIC Bojan,SRB,4.9,7,,11.9
171,176,KYRIAKOU Neofytos,CYP,4.7,7.1,,11.8
172,193,CARD Franz,FIN,4.1,7.666,,11.766
173,212,ARSENIEV Vitalii,GEO,4,7.741,,11.741
174,174,GEORGIOU Ilias,CYP,4.8,7.2,-0.3,11.7
175,119,KRANZLMUELLER Lukas,AUT,4.2,7.466,,11.666
176,392,PHAN Ngoc Hung,VIE,4.1,7.633,-0.1,11.633
177,177,CERNY Frantisek,CZE,5.3,6.4,-0.1,11.6
178,228,VEGA LOPEZ Jorge,GUA,5.9,5.666,,11.566
179,287,TVOROGAL Robert,LTU,4.9,6.633,,11.533
180,242,AL-DELFI Azeez,IRQ,4.4,7.1,,11.5
181,169,SRBIC Tin,CRO,3.5,8.266,-0.3,11.466
182,312,LEON PRADO Arian,PER,3.9,7.566,,11.466
183,281,LEE Hyeokjung,KOR,5.3,6.166,,11.466
184,371,HRYKO Vladyslav,UKR,5.4,6.066,,11.466
185,316,ALMEIDA Bernardo,POR,4.8,6.933,-0.3,11.433
186,122,SEREINIG Fabio,AUT,4.6,6.833,,11.433
187,171,LARDUET Manrique,CUB,4.9,6.9,-0.4,11.4
188,321,RI Wi Chol,PRK,5.3,6.333,-0.3,11.333
189,219,KLESSING Nick,GER,5.5,5.9,-0.1,11.3
190,246,BALDURSSON Eythor,ISL,4.9,6.366,,11.266
191,356,PROMMANEE Jamorn,THA,4.5,6.533,,11.033
192,214,JIMSHELEISHVILI Ioane,GEO,4.7,6.566,-0.3,10.966
193,166,KOVACEVIC Anton,CRO,2.7,8.5,-0.3,10.9
194,322,ALDYANI Ahmed,QAT,4.8,6.4,-0.4,10.8
195,124,AGHARZAYEV Murad,AZE,5.3,5.666,-0.4,10.566
196,323,MOSA Ahmed,QAT,4.3,6.2,,10.5
197,125,BAIRAMOV Timur,AZE,3.9,6.533,,10.433
198,318,HAN Chung Hyo,PRK,2.7,6.566,,9.266
199,336,TAY Wei An Terry,SGP,4.1,5.166,-0.2,9.066
200,244,AL-DULAIMI Abdullah,IRQ,3.6,4.033,-0.2,7.433
