rank,ID,Full Name,NOC,DScore,EScore,Penalty,TotalScore
137,234,KARDOS Botond,HUN,4.6,7.7,,12.3
138,263,LEWIS Stephen,JAM,4.5,7.766,,12.265999999999998
139,354,VANSTROEM Kim,SWE,4.3,7.933,,12.232999999999999
140,306,DICK Ethan,NZL,3.8,8.4,,12.2
141,349,MICHNAK Slavomir,SVK,3.9,8.3,,12.2
142,254,SOROKINE Michael,ISR,4.2,8.0,,12.2
143,391,PHAM Phuoc Hung,VIE,4.6,7.566,,12.165999999999999
144,177,CERNY Frantisek,CZE,4.1,8.033,,12.133
144,179,RADOVESNICKY Daniel,CZE,4.1,8.033,,12.133
146,360,SHIAO Yu-Jan,TPE,4.3,7.832999999999999,,12.133
146,385,AZIMOV Abdulla,UZB,4.3,7.832999999999999,,12.133
148,201,DEGOUY Paul,FRA,4.5,7.632999999999999,,12.133
149,393,IDESJOE Karl,SWE,4.6,7.5329999999999995,,12.133
150,304,STIANSEN Henrik,NOR,4.7,7.4079999999999995,,12.107999999999999
151,119,KRANZLMUELLER Lukas,AUT,3.7,8.4,,12.1
152,241,STEELE Adam,IRL,4.2,7.9,,12.1
152,248,REINHARDSSON Valgard,ISL,4.2,7.9,,12.1
154,121,SCHWAB Matthias,AUT,4.5,7.6,,12.1
154,311,AGUERO Daniel,PER,4.5,7.6,,12.1
156,215,KUZOVKOV Konstantin,GEO,4.6,7.5,,12.1
157,137,SANUVONH Dzianis,BLR,4.7,7.4,,12.1
158,120,KRANZLMUELLER Severin,AUT,4.2,7.8660000000000005,,12.065999999999999
159,294,VALLE Joshua,MEX,5.5,6.566,,12.065999999999999
160,250,KORCHAK Ilan,ISR,4.2,7.832999999999999,,12.033
161,339,JURKOVIC Nikola,SRB,4.1,7.9,,12.0
162,322,ALDYANI Ahmed,QAT,4.3,7.7,,12.0
163,172,LERU Randy,CUB,4.4,7.6,,12.0
164,178,PONIZIL Daniel,CZE,3.4,8.566,,11.966
165,249,DOLGOPYAT Artem,ISR,4.3,7.666,,11.966
166,315,ALMEIDA Simao,POR,5.2,6.766,,11.966
167,318,HAN Chung Hyo,PRK,5.3,6.666,,11.966
168,357,SURINTORNTA Tikumporn,THA,4.7,7.233,,11.933
169,387,TOSHPULATOV Bobur,UZB,3.9,8.0,,11.9
170,297,LOUWIJE Bram,NED,3.7,8.1,,11.8
171,310,OCONNELL-INNS Jorden,NZL,4.2,7.566,,11.765999999999998
172,213,GOVOROV Dmitrii,GEO,4.4,7.332999999999999,,11.732999999999999
173,341,VEFIC Petar,SRB,4.2,7.3660000000000005,,11.565999999999999
174,336,TAY Wei An Terry,SGP,4.2,7.332999999999999,,11.533
175,286,KUZMICKAS Tomas,LTU,4.9,6.6,,11.5
176,163,MARTINEZ MORENO Andres,COL,4.6,6.733,,11.333
177,160,CALVO Carlos,COL,4.6,6.7,,11.3
178,392,PHAN Ngoc Hung,VIE,3.3,7.966,,11.265999999999998
179,125,BAIRAMOV Timur,AZE,3.4,7.766,,11.165999999999999
180,246,BALDURSSON Eythor,ISL,3.9,7.1,,11.0
181,186,CHIRIBOGA Israel,ECU,3.2,7.5329999999999995,,10.732999999999999
182,181,SOLOVJEV Svjatoslav,CZE,2.8,8.166,-0.3,10.665999999999999
183,289,LOO Phay Xing,MAS,3.8,6.6,,10.4
184,312,LEON PRADO Arian,PER,2.7,7.566,,10.265999999999998
185,267,NAGHOUJ Saleem,JOR,3.7,6.8660000000000005,-0.3,10.265999999999998
186,275,JANTYKOV Yerbol,KAZ,4.0,6.1,-0.3,9.8
187,323,MOSA Ahmed,QAT,3.7,6.1,,9.8
188,342,VELICKOVIC Petar,SRB,4.1,5.7,,9.8
189,292,RAZO PADILLA Patricio,MEX,3.2,7.2,-4.0,6.4
190,170,UDE Filip,CRO,2.2,8.383,-4.3,6.2829999999999995
191,167,KUSAN Leonardo,CRO,2.5,7.632999999999999,-4.0,6.132999999999999
192,356,PROMMANEE Jamorn,THA,2.9,7.3,-4.3,5.9
193,359,LEE Chih Kai,TPE,3.6,6.3,-4.0,5.9
194,166,KOVACEVIC Anton,CRO,2.1,7.666,-4.3,5.466
