rank,ID,Full Name,NOC,DScore,EScore,Penalty,TotalScore
158,315,ALMEIDA Simao,POR,4.4,7.2,,11.6
159,307,DYSON Devy,NZL,4.7,6.9,,11.6
160,312,LEON PRADO Arian,PER,4.0,7.582999999999999,,11.583
161,213,GOVOROV Dmitrii,GEO,3.9,7.666,,11.565999999999999
162,313,YULO Carlos Edriel,PHI,5.2,6.3660000000000005,,11.565999999999999
163,289,LOO Phay Xing,MAS,4.0,7.5329999999999995,,11.533
164,122,SEREINIG Fabio,AUT,4.8,6.733,,11.533
165,392,PHAN Ngoc Hung,VIE,3.9,7.6,,11.5
166,384,ABDUSAMATOV Khusniddin,UZB,4.5,7.0,,11.5
167,385,AZIMOV Abdulla,UZB,4.3,7.166,,11.466
168,262,FAULK Caleb,JAM,4.5,6.966,,11.466
169,263,LEWIS Stephen,JAM,3.9,7.55,,11.45
170,142,de SOUZA BITENCOURT Lucas,BRA,5.6,5.8,,11.4
171,267,NAGHOUJ Saleem,JOR,3.8,7.566,,11.366
172,212,ARSENIEV Vitalii,GEO,4.0,7.3660000000000005,,11.366
173,163,MARTINEZ MORENO Andres,COL,4.7,6.666,,11.366
174,124,AGHARZAYEV Murad,AZE,4.6,6.733,,11.333
175,176,KYRIAKOU Neofytos,CYP,3.2,8.1,,11.3
176,181,SOLOVJEV Svjatoslav,CZE,4.0,7.3,,11.3
177,246,BALDURSSON Eythor,ISL,3.4,7.8660000000000005,,11.265999999999998
178,243,AL-DULAIMI Yasir,IRQ,4.2,6.966,,11.165999999999999
179,321,RI Wi Chol,PRK,4.7,6.466,,11.165999999999999
180,146,ALEKSANDROV Yordan,BUL,4.6,6.5,,11.1
181,247,GUNNARSSON Jon,ISL,3.6,7.4,,11.0
182,356,PROMMANEE Jamorn,THA,3.7,7.3,,11.0
183,184,WINTHER Joachim,DEN,4.6,6.4,,11.0
184,175,KRASIAS Michalis,CYP,4.4,6.5329999999999995,,10.933
185,340,PAUNOVIC Milos,SRB,4.6,6.332999999999999,,10.933
186,103,JATO Julian,ARG,3.9,6.766,,10.665999999999999
187,336,TAY Wei An Terry,SGP,3.5,6.9,,10.4
188,293,ROJO Francisco,MEX,4.5,5.9,,10.4
189,165,VARGAS Erick,COL,4.9,5.5,,10.4
190,125,BAIRAMOV Timur,AZE,4.2,6.166,,10.366
191,290,de LUNA Fabian,MEX,4.2,6.1,,10.3
192,314,AGUIAR BARBOSA Petrix Stevan,POR,4.4,5.8,,10.2
193,248,REINHARDSSON Valgard,ISL,4.1,5.666,,9.766
194,387,TOSHPULATOV Bobur,UZB,4.6,5.166,,9.766
195,111,TOVMASYAN Artur,ARM,2.8,6.332999999999999,,9.133
196,323,MOSA Ahmed,QAT,4.2,4.8,,9.0
197,178,PONIZIL Daniel,CZE,1.9,6.3660000000000005,-4.0,4.266
