rank,ID,Full Name,NOC,DScore,EScore,Penalty,TotalScore
147,285,GUSCINAS Rokas,LTU,5.3,4.866,,10.166
148,202,FRASCA Loris,FRA,4.5,5.6,,10.1
149,190,LOPEZ Ruben,ESP,4.8,5.3,,10.1
150,253,SHATILOV Alexander,ISR,4.7,5.366,,10.066
151,212,ARSENIEV Vitalii,GEO,3.9,6.133,,10.033
152,122,SEREINIG Fabio,AUT,4.7,5.333,,10.033
153,131,KUAVITA Noah,BEL,4,6,,10
154,282,LEE Junho,KOR,4.2,5.8,,10
155,152,ZAKUTNEY Samuel,CAN,4.7,5.3,,10
156,365,ARCA Mustafa,TUR,3.7,6.266,,9.966
157,263,LEWIS Stephen,JAM,4.1,5.866,,9.966
158,175,KRASIAS Michalis,CYP,5.4,4.566,,9.966
159,391,PHAM Phuoc Hung,VIE,4.2,5.733,,9.933
160,243,AL-DULAIMI Yasir,IRQ,3.8,6.1,,9.9
161,354,VANSTROEM Kim,SWE,3.9,6,,9.9
162,176,KYRIAKOU Neofytos,CYP,3.4,6.491,,9.891
163,224,KRANITIS Nikolaos,GRE,3.1,6.766,,9.866
164,244,AL-DULAIMI Abdullah,IRQ,4.8,5.066,,9.866
165,165,VARGAS Erick,COL,4.7,5.133,,9.833
166,113,COSTIN Scott,AUS,3.8,5.966,,9.766
167,340,PAUNOVIC Milos,SRB,4.4,5.366,,9.766
168,247,GUNNARSSON Jon,ISL,3.1,6.633,,9.733
169,390,le Thanh Tung,VIE,3.3,6.4,,9.7
170,321,RI Wi Chol,PRK,3.8,5.9,,9.7
171,384,ABDUSAMATOV Khusniddin,UZB,4.5,5.2,,9.7
172,336,TAY Wei An Terry,SGP,3.8,5.866,,9.666
173,363,YU Chao Wei,TPE,3.7,5.9,,9.6
174,342,VELICKOVIC Petar,SRB,4.6,5,,9.6
175,161,CALVO MORENO Jossimar Orlando,COL,4.2,5.266,,9.466
176,103,JATO Julian,ARG,3.1,6.2,,9.3
177,109,KHACHATRYAN Vigen,ARM,4.4,4.9,,9.3
178,132,van den KEYBUS Luka,BEL,4.4,4.866,,9.266
179,317,HAN Jong Hyok,PRK,4.3,4.933,,9.233
180,312,LEON PRADO Arian,PER,4.4,4.833,,9.233
181,261,BECKFORD Reiss,JAM,4.3,4.6,,8.9
182,267,NAGHOUJ Saleem,JOR,3.9,4.966,,8.866
183,262,FAULK Caleb,JAM,4,4.766,,8.766
184,355,ALSOULIMAN Yazan,SYR,3.8,4.5,,8.3
185,328,KOTRONG Adelin,ROU,4.2,4.033,,8.233
186,293,ROJO Francisco,MEX,3.4,4.766,,8.166
187,150,PATERSON Cory,CAN,4.5,3.666,,8.166
188,112,BULL Tyson,AUS,3.8,4.333,,8.133
189,386,KHAMROKULOV Akobir,UZB,3.7,3.833,,7.533
190,323,MOSA Ahmed,QAT,3,3.8,,6.8
191,172,LERU Randy,CUB,3.2,3.533,,6.733
192,186,CHIRIBOGA Israel,ECU,3.7,2.966,,6.666
193,327,SZABO Rafael,ROU,3.3,3.333,,6.633
194,125,BAIRAMOV Timur,AZE,2.9,2.6,,5.5
195,370,SAMILOGLU Umit,TUR,2.8,6.4,-4,5.2
196,106,VILLAFANE Daniel,ARG,2.9,5.8,-4,4.7
197,102,CORDOBA Nicolas,ARG,2,6.5,-4,4.5
198,356,PROMMANEE Jamorn,THA,3.2,4.9,-4,4.1
199,311,AGUERO Daniel,PER,3.4,4.366,-4,3.766
200,291,NUNEZ Isaac,MEX,3.3,4.366,-4,3.666
201,292,RAZO PADILLA Patricio,MEX,2.9,4.566,-4,3.466
202,352,LIDBECK Filip,SWE,2.2,4.7,-4,2.9
,357,SURINTORNTA Tikumporn,THA,,,,DNS
